Variable,Count,Missing,Min,Max,Mean,Std,Median,Users
mood,5641,0,1.0,10.0,6.993,1.033,7.0,27
circumplex.arousal,5643,46,-2.0,2.0,-0.099,1.052,0.0,27
circumplex.valence,5643,156,-2.0,2.0,0.688,0.671,1.0,27
activity,22965,0,0.0,1.0,0.116,0.187,0.022,27
screen,96578,0,0.035,9867.007,75.335,253.822,20.044,27
call,5239,0,1.0,1.0,1.0,0.0,1.0,27
sms,1798,0,1.0,1.0,1.0,0.0,1.0,27
appCat.builtin,91288,0,-82798.871,33960.246,18.538,415.989,4.038,27
appCat.communication,74276,0,0.006,9830.777,43.344,128.913,16.226,27
appCat.entertainment,27125,0,-0.011,32148.677,37.576,262.96,3.391,27
appCat.finance,939,0,0.131,355.513,21.755,39.218,8.026,15
appCat.game,813,0,1.003,5491.793,128.392,327.145,43.168,15
appCat.office,5642,0,0.003,32708.818,22.579,449.601,3.106,22
appCat.other,7650,0,0.014,3892.038,25.811,112.781,10.028,27
appCat.social,19145,0,0.094,30000.906,72.402,261.552,28.466,27
appCat.travel,2846,0,0.08,10452.615,45.731,246.109,18.144,27
appCat.unknown,939,0,0.111,2239.937,45.553,119.4,17.19,23
appCat.utilities,2487,0,0.246,1802.649,18.538,60.959,8.03,26
appCat.weather,255,0,1.003,344.863,20.149,24.943,15.117,12
