User,Date Range,Total Days,Mood Days,Mood Records,Mood Mean,Mood Std,Total Records
AS14.01,2014-02-17 ~ 2014-05-05,72,47,222,7.07,0.85,21999
AS14.02,2014-02-17 ~ 2014-04-25,68,41,159,6.77,1.26,14581
AS14.03,2014-02-17 ~ 2014-05-08,77,47,221,7.58,0.69,14425
AS14.05,2014-02-18 ~ 2014-05-05,70,53,241,6.73,0.98,15745
AS14.06,2014-02-17 ~ 2014-05-08,74,45,203,7.17,1.07,18092
AS14.07,2014-03-17 ~ 2014-05-05,50,48,192,6.11,1.72,16045
AS14.08,2014-02-17 ~ 2014-05-05,67,62,299,6.75,1.11,7902
AS14.09,2014-02-17 ~ 2014-05-05,71,46,197,6.92,0.93,10886
AS14.12,2014-02-19 ~ 2014-05-05,67,41,185,6.22,0.8,17311
AS14.13,2014-02-17 ~ 2014-05-04,72,53,244,7.29,1.15,19592
AS14.14,2014-02-17 ~ 2014-05-05,72,44,164,6.85,0.91,9286
AS14.15,2014-02-17 ~ 2014-05-08,79,55,269,6.94,0.5,2848
AS14.16,2014-02-17 ~ 2014-05-05,74,53,231,6.67,0.87,3982
AS14.17,2014-02-17 ~ 2014-05-05,75,56,237,7.18,0.65,15826
AS14.19,2014-02-17 ~ 2014-05-05,73,46,221,6.84,0.98,11397
AS14.20,2014-02-17 ~ 2014-05-05,66,47,202,6.98,0.71,3620
AS14.23,2014-02-17 ~ 2014-05-04,63,39,159,7.09,0.87,21852
AS14.24,2014-04-09 ~ 2014-06-09,62,55,238,6.99,0.85,14430
AS14.25,2014-02-17 ~ 2014-05-08,75,30,131,6.85,0.93,12589
AS14.26,2014-02-17 ~ 2014-05-30,100,68,329,6.94,0.92,16403
AS14.27,2014-02-17 ~ 2014-05-15,80,42,199,7.37,1.04,14575
AS14.28,2014-02-17 ~ 2014-05-08,58,38,169,7.11,1.1,19276
AS14.29,2014-02-17 ~ 2014-05-15,73,42,187,7.57,0.99,17499
AS14.30,2014-02-17 ~ 2014-05-05,70,47,224,7.79,0.63,17279
AS14.31,2014-02-17 ~ 2014-05-17,78,43,198,7.01,0.59,11889
AS14.32,2014-02-17 ~ 2014-05-14,86,37,128,7.53,0.88,11193
AS14.33,2014-02-17 ~ 2014-05-31,101,43,192,6.56,1.48,16390
